IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
2606:4700:56:cea2:fb90:5039:bbca:39b,4,4,0.00,20.80,4.10
2606:4700:0:7bdb:1bb7:f843:a94d:597c,4,4,0.00,20.30,0.84
2606:4700:0:62:b5f3:9335:34c9:84e6,4,4,0.00,20.77,0.64
2606:4700:56:cea2:fbe6:d4be:5b78:7e7d,4,4,0.00,20.81,0.57
2606:4700:56:cea2:fb90:e614:3a8f:964d,4,4,0.00,20.28,0.54
2606:4700:56:cea2:9d34:c352:113f:23af,4,4,0.00,20.77,0.53
2606:4700:56:cea2:fbe6:d4ef:d67b:3c91,4,4,0.00,20.90,0.51
2606:4700:56:cea2:9da2:b0d3:9306:f736,4,4,0.00,20.89,0.51
2606:4700::84:c71b:fdc7:d937,4,4,0.00,20.47,0.45
2606:4700:56:cea2:9d34:c352:f4a3:5b0a,4,4,0.00,20.91,0.37
